한글태풍명,영문태풍명,국내피해여부,발생일시,소멸일시,start,end,
카눈,KHANUN,상륙,2012.07.16 06:00,2012.07.19 03:00,20120717,20120718,
담레이,DAMREY,직접영향,2012.07.28 12:00,2012.08.03 06:00,20120729,20120802,
덴빈,TEMBIN,상륙,2012.08.19 00:00,2012.08.30 15:00,20120819,20120829,
볼라벤,BOLAVEN,직접영향,2012.08.20 06:00,2012.08.28 21:00,20120821,20120827,
산바,SANBA,상륙,2012.09.11 00:00,2012.09.18 00:00,20120911,20120917,
리피,LEEPI,직접영향,2013.06.18 00:00,2013.06.21 00:00,20130618,20130620,
콩레이,KONG-REY,직접영향,2013.08.26 06:00,2013.08.30 18:00,20130827,20130829,
다나스,DANAS,직접영향,2013.10.04 06:00,2013.10.09 00:00,20131005,20131008,
너구리,NEOGURI,직접영향,2014.07.04 00:00,2014.07.11 00:00,20140704,20140710,
할롱,HALONG,직접영향,2014.07.29 03:00,2014.08.11 00:00,20140730,20140810,
나크리,NAKRI,직접영향,2014.07.29 18:00,2014.08.03 06:00,20140730,20140802,
봉퐁,VONGFONG,직접영향,2014.10.03 12:00,2014.10.14 00:00,20141004,20141013,
찬홈,CHAN-HOM,직접영향,2015.06.30 12:00,2015.07.12 21:00,20150701,20150711,
낭카,NANGKA,직접영향,2015.07.03 18:00,2015.07.17 18:00,20150704,20150716,
할롤라,HALOLA,직접영향,2015.07.13 00:00,2015.07.26 15:00,20150713,20150725,
고니,GONI,직접영향,2015.08.14 18:00,2015.08.25 21:00,20150815,20150824,
말라카스,MALAKAS,직접영향,2016.09.12 18:00,2016.09.20 09:00,20160913,20160919,
차바,CHABA,상륙,2016.09.27 18:00,2016.10.05 15:00,20160928,20161004,
난마돌,NANMADOL,직접영향,2017.07.02 00:00,2017.07.04 18:00,20170702,20170703,
노루,NORU,직접영향,2017.07.21 00:00,2017.08.08 06:00,20170721,20170807,
탈림,TALIM,직접영향,2017.09.09 12:00,2017.09.18 00:00,20170910,20170917,
쁘라삐룬,PRAPIROON,직접영향,2018.06.29 00:00,2018.07.04 09:00,20180629,20180703,
룸비아,RUMBIA,직접영향,2018.08.15 06:00,2018.08.18 00:00,20180816,20180817,
솔릭,SOULIK,상륙,2018.08.16 00:00,2018.08.24 18:00,20180816,20180823,
짜미,TRAMI,직접영향,2018.09.21 12:00,2018.10.01 06:00,20180922,20180930,
콩레이,KONG-REY,상륙,2018.09.29 06:00,2018.10.07 00:00,20180930,20181006,
다나스,DANAS,직접영향,2019.07.16 06:00,2019.07.20 03:00,20190717,20190719,
프란시스코,FRANCISCO,상륙,2019.08.02 00:00,2019.08.06 12:00,20190802,20190805,
레끼마,LEKIMA,직접영향,2019.08.04 06:00,2019.08.12 12:00,20190805,20190811,
크로사,KROSA,직접영향,2019.08.06 06:00,2019.08.16 12:00,20190807,20190815,
링링,LINGLING,직접영향,2019.09.02 00:00,2019.09.08 00:00,20190902,20190907,
타파,TAPAH,직접영향,2019.09.19 06:00,2019.09.23 00:00,20190920,20190922,
미탁,MITAG,상륙,2019.09.28 00:00,2019.10.03 03:00,20190928,20191002,